mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
4417,MRBTS-4417/EQM-1/APEQM-1/RMOD-1/SFP-1,OPT_IF1-1,WTD_RTXM228-702-AW.1.0,AL1436013024,LC,1310,NotSupported,10000,219.000000,29,3293,44,-3,-3
4417,MRBTS-4417/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-3,Hisense_LTF1303-AW,14HQLL26310240,LC,1310,NotSupported,9800,219.000000,48,3284,35,-2,-3
4417,MRBTS-4417/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,Hisense_LTF1303-AW.A,14HQLL26311484,LC,1310,NotSupported,9800,220.000000,23,3308,31,-3,-10
4417,MRBTS-4417/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT3_10G-5,Hisense_LTF1303-AW,14HQLL26311478,LC,1310,NotSupported,9800,220.000000,50,3281,35,-2,-3
4417,MRBTS-4417/EQM-1/APEQM-1/RMOD-3/SFP-3,OPT_IF1-1,WTD_RTXM228-702-AW.1.0,AL1436013021,LC,1310,NotSupported,10000,220.000000,24,3307,41,-3,-1
4417,MRBTS-4417/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-7,FINISARCORP._FTLX1370W3BTL-AW,URE182Y,LC,1310,NotSupported,9800,220.000000,52,3297,49,-1,-5
924702,MRBTS-924702/EQM-1/APEQM-1/RMOD-3/SFP-1,OPT_IF1-1,HGGENUINE_MTRS-1E21-01,MB16170051556  ,LC,1310,NotSupported,9900,243.000000,28,3326,46,-4,-2
924702,MRBTS-924702/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT5_10G-11,HGGENUINE_MTRS-1E21-01,MB16170051569,LC,1310,NotSupported,9900,243.000000,31,3297,48,-3,-3
924702,MRBTS-924702/EQM-1/APEQM-1/RMOD-1/SFP-2,OPT_IF1-1,HGGENUINE_MTRS-1E21-01,MB16170051575  ,LC,1310,NotSupported,9900,244.000000,28,3321,46,-4,-4
924702,MRBTS-924702/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT1_10G-7,HGGENUINE_MTRS-1E21-01,MB16170051574,LC,1310,NotSupported,9900,244.000000,30,3297,46,-5,-3
924702,MRBTS-924702/EQM-1/APEQM-1/RMOD-2/SFP-3,OPT_IF1-1,HGGENUINE_MTRS-1E21-01,MB16170112071  ,LC,1310,NotSupported,9900,244.000000,29,3316,47,-4,-2
924702,MRBTS-924702/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT3_10G-9,HGGENUINE_MTRS-1E21-01,MB16170051572,LC,1310,NotSupported,9900,244.000000,31,3302,46,-3,-4
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-6/SFP-1,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A3889,LC,1310,NotSupported,9800,203.000000,33,3286,42,-1,-2
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-1,RF5-5,Hisense_LTF1303-AW1,AD1820A4012,LC,1310,NotSupported,9800,203.000000,40,3268,40,-2,-3
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-2/SFP-2,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A1868    ,LC,1310,NotSupported,9800,247.000000,31,3308,39,-2,-2
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT3_10G-5,Hisense_LTF1303-AW,14HQLL26310425,LC,1310,NotSupported,9800,247.000000,42,3280,34,-3,-2
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-1/SFP-3,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A3785    ,LC,1310,NotSupported,9800,233.000000,33,3325,40,-3,-3
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT1_10G-3,WTD_RTXM228-702-AW,AL1436013025,LC,1310,NotSupported,10000,233.000000,41,3278,42,-3,-3
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-5/SFP-4,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A4625,LC,1310,NotSupported,9800,202.000000,35,3307,41,-1,-2
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF3-3,Hisense_LTF1303-AW1,AD1820A4066,LC,1310,NotSupported,9800,202.000000,42,3269,41,-1,-1
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-4/SFP-5,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A3748,LC,1310,NotSupported,9800,202.000000,32,3314,40,-2,-3
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-3,RF1-1,Hisense_LTF1303-AW1,AD1820A2085,LC,1310,NotSupported,9800,202.000000,40,3254,40,-3,-2
4356,MRBTS-4356/EQM-1/APEQM-1/RMOD-3/SFP-6,OPT_IF1-1,Hisense_LTF1303-AW1,AD1820A1862    ,LC,1310,NotSupported,9800,232.000000,32,3323,40,-2,-2
4356,MRBTS-4356/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT5_10G-7,WTD_RTXM228-702-AW,AL1436013023,LC,1310,NotSupported,10000,232.000000,42,3221,42,-2,-1
4358,MRBTS-4358/EQM-1/APEQM-1/RMOD-2/SFP-1,OPT_IF1-1,WTD_RTXM228-702,FR173624421,LC,1310,NotSupported,10000,220.000000,34,3307,38,-2,-1
4358,MRBTS-4358/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT5_10G-5,WTD_RTXM228-702,FR173624436,LC,1310,NotSupported,10000,220.000000,43,3212,41,-2,-2
4358,MRBTS-4358/EQM-1/APEQM-1/RMOD-1/SFP-2,OPT_IF1-1,WTD_RTXM228-702,FR173624158,LC,1310,NotSupported,10000,220.000000,37,3254,40,-3,-2
4358,MRBTS-4358/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT1_10G-19,FINISARCORP._FTLX1370W3BTL-AW,UV51UG6,LC,1310,NotSupported,10300,220.000000,44,3298,48,-1,-3
4358,MRBTS-4358/EQM-1/APEQM-1/RMOD-6/SFP-3,OPT_IF1-1,WTD_RTXM228-702,FR173624793,LC,1310,NotSupported,10000,220.000000,36,3288,38,-4,-2
4358,MRBTS-4358/EQM-1/APEQM-1/CABINET-1/BBMOD-2/SFP-1,RF5-5,WTD_RTXM228-702,FR173624420,LC,1310,NotSupported,10000,220.000000,45,3283,42,-2,-3
4358,MRBTS-4358/EQM-1/APEQM-1/RMOD-3/SFP-4,OPT_IF1-1,WTD_RTXM228-702,FR173624141,LC,1310,NotSupported,10000,219.000000,36,3231,42,-3,-2
4358,MRBTS-4358/EQM-1/APEQM-1/CABINET-1/BBMOD-1/SFP-2,RF1-1,WTD_RTXM228-702,FR173624155,LC,1310,NotSupported,10000,219.000000,44,3247,42,-2,-3
