mrbts_id,distname,physicalPort,sfpVendor,sfpSerialNumber,sfpType,waveLength(nm),transmissionMode,ransmissionRate(Mb/s),transmissionDistance(m),temperature,txVoltage,txCurrent,txPower,rxPower
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-4/SFP-1,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131541888  ,LC,1310,NotSupported,9900,0.000000,37,3240,45,-1,-3
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-3/SFP-2,OPT_IF2-2,HGGENUINE_MTRS-1E21-04,MB18131542017  ,LC,1310,NotSupported,9900,0.000000,36,3231,46,-3,-7
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-2/SFP-3,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131541886  ,LC,1310,NotSupported,9900,0.000000,37,3231,45,-2,-3
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-1/SFP-4,OPT_IF2-2,HGGENUINE_MTRS-1E21-04,MB18131542147  ,LC,1310,NotSupported,9900,0.000000,34,3235,45,-3,-3
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-1/SFP-5,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131541867  ,LC,1310,NotSupported,9900,1175.000000,37,3216,45,-2,-7
555869,MRBTS-555869/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-1,RFEXT1_10G-9,HGGENUINE_MTRS-1E21-04,MB18131542934,LC,1310,NotSupported,9900,1175.000000,38,3231,46,-3,-16
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-5/SFP-6,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131542163  ,LC,1310,NotSupported,9900,956.000000,38,3231,44,-2,-4
555869,MRBTS-555869/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-2,RFEXT5_10G-13,HGGENUINE_MTRS-1E21-04,MB18140430902,LC,1310,NotSupported,9900,956.000000,38,3231,44,-3,-6
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-6/SFP-7,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131541995  ,LC,1310,NotSupported,9900,0.000000,37,3231,46,-3,-6
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-5/SFP-8,OPT_IF2-2,HGGENUINE_MTRS-1E21-04,MB18131541094  ,LC,1310,NotSupported,9900,0.000000,36,3245,44,-3,-6
555869,MRBTS-555869/EQM-1/APEQM-1/RMOD-3/SFP-9,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB18131542010  ,LC,1310,NotSupported,9900,1022.000000,38,3226,45,-3,-4
555869,MRBTS-555869/EQM-1/APEQM-1/CABINET-1/SMOD-1/SFP-3,RFEXT3_10G-11,HGGENUINE_MTRS-1E21-04,MB18131540780,LC,1310,NotSupported,9900,1022.000000,38,3226,45,-2,-12
555864,MRBTS-555864/RMOD-1/SFP-1,OPT_IF1-1,HGGENUINE_MTRS-1E21-04,MB17370960768  ,LC,1310,NotSupported,9900,1132,35,3259,42,8,5
555864,MRBTS-555864/SMOD-1/SFP-1,RFEXT3_10G-4,HGGENUINE_MTRS-1E21-04,MB18140432931,LC,1310,NotSupported,9900,1132,41,3241,46,-2,-6
