mrbts_id,ip,dn,linktype,linkspeed,moduleTemperature,TXSupplyVoltage,TXBiasCurrent,TXPower,RXOpticalPower,connectorType,serialNumber,vendorPartNumber,waveLength,transmissionRate,transmissionMode
117851,100.105.151.21,RMOD_R-1/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,41,3321,34,0.469,0.495,LC,MA18230070160,HGGENUINE_MTRS-6E21-01,1310,6200,
117851,100.105.151.21,BBMOD_R-1/SFP_R-1 (RF3),RP3_01Link,Obsai6Gbps,37,3157,35,mW,mW,LC,FR172909374,WTD_RTXM228-601,1310,6100,
117851,100.105.151.21,RMOD_R-1/SFP_R-2 (OPT_IF2),RP3_01Link,Obsai6Gbps,40,3331,34,0.471,0.608,LC,MA18230072341,HGGENUINE_MTRS-6E21-01,1310,6200,
117851,100.105.151.21,BBMOD_R-1/SFP_R-3 (RF4),RP3_01Link,Obsai6Gbps,36,3182,36,mW,mW,LC,FR172908864,WTD_RTXM228-601,1310,6100,
117851,100.105.151.21,RMOD_R-2/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,41,3307,34,0.6,0.352,LC,MA18230070602,HGGENUINE_MTRS-6E21-01,1310,6200,
117851,100.105.151.21,BBMOD_R-1/SFP_R-2 (RF1),RP3_01Link,Obsai6Gbps,37,3172,36,mW,mW,LC,FR172909375,WTD_RTXM228-601,1310,6100,
117851,100.105.151.21,RMOD_R-2/SFP_R-2 (OPT_IF2),RP3_01Link,Obsai6Gbps,41,3307,33,0.548,0.583,LC,MA18230070209,HGGENUINE_MTRS-6E21-01,1310,6200,
117851,100.105.151.21,BBMOD_R-1/SFP_R-4 (RF2),RP3_01Link,Obsai6Gbps,37,3172,37,mW,mW,LC,FR172909355,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,RMOD_R-1/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,55,3329,39,0.568,0.477,LC,FR182006672,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,BBMOD_R-1/SFP_R-2 (RF3),RP3_01Link,Obsai6Gbps,37,3162,37,mW,mW,LC,FR180602975,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,RMOD_R-1/SFP_R-2 (OPT_IF2),RP3_01Link,Obsai6Gbps,56,3295,40,0.624,0.692,LC,FR180602982,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,BBMOD_R-1/SFP_R-1 (RF4),RP3_01Link,Obsai6Gbps,37,3172,38,mW,mW,LC,FR182006673,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,RMOD_R-2/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,56,3334,37,0.511,0.441,LC,FR180602976,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,BBMOD_R-1/SFP_R-4 (RF1),RP3_01Link,Obsai6Gbps,37,3182,38,mW,mW,LC,FR182005696,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,RMOD_R-2/SFP_R-2 (OPT_IF2),RP3_01Link,Obsai6Gbps,58,3295,38,0.634,0.575,LC,FR182005698,WTD_RTXM228-601,1310,6100,
117852,10.150.8.125,BBMOD_R-1/SFP_R-3 (RF2),RP3_01Link,Obsai6Gbps,35,3211,39,mW,mW,LC,FR180602977,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,RMOD_R-1/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,45,3304,37,-2.09,-2.541,LC,FR182601320,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,BBMOD_R-1/SFP_R-1 (RF1),RP3_01Link,Obsai6Gbps,32,3191,33,-2.518,-2.967,LC,FR182601319,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,RMOD_R-2/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,48,3324,37,-2.612,-3.655,LC,FR182601322,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,BBMOD_R-1/SFP_R-2 (RF2),RP3_01Link,Obsai6Gbps,31,3221,35,-2.993,-2.684,LC,FR182601323,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,RMOD_R-3/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,39,3324,38,-2.916,-2.976,LC,FR182601318,WTD_RTXM228-601,1310,6100,
117918,100.105.151.161,BBMOD_R-1/SFP_R-3 (RF3),RP3_01Link,Obsai6Gbps,32,3221,35,-3.27,-3.134,LC,FR182601321,WTD_RTXM228-601,1310,6100,
117957,10.150.9.13,RMOD_R-1/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,34,3281,40,-2.168,-2.373,LC,AC1905A0516,Hisense_LTF1303-AW1,1310,9800,
117957,10.150.9.13,BBMOD_R-1/SFP_R-1 (RF2),CPRILink,Cpri7,41,3187,43,-2.336,-2.534,LC,AC1905A0977,Hisense_LTF1303-AW1,1310,9800,
117957,10.150.9.13,RMOD_R-2/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,37,3311,43,-2.248,-1.858,LC,AC1905A0207,Hisense_LTF1303-AW1,1310,9800,
117957,10.150.9.13,BBMOD_R-1/SFP_R-3 (RF1),CPRILink,Cpri7,39,3207,41,-1.746,-1.952,LC,AC1905A0514,Hisense_LTF1303-AW1,1310,9800,
117957,10.150.9.13,RMOD_R-3/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,34,3295,41,-1.409,-4.461,LC,AC1905A0903,Hisense_LTF1303-AW1,1310,9800,
117957,10.150.9.13,BBMOD_R-1/SFP_R-2 (RF3),CPRILink,Cpri7,39,3195,43,-1.669,-2.396,LC,AC1905A0115,Hisense_LTF1303-AW1,1310,9800,
593160,10.150.243.71,RMOD_R-1/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,36,3283,34,-3.307,-4.535,LC,EA18461210430,HGGENUINE_MTRS-6E21-01,1310,6200,
593160,10.150.243.71,BBMOD_R-1/SFP_R-2 (RF2),RP3_01Link,Obsai6Gbps,35,3235,32,-3.17,-3.788,LC,EA18461210431,HGGENUINE_MTRS-6E21-01,1310,6200,
593160,10.150.243.71,RMOD_R-2/SFP_R-1 (OPT_IF1),RP3_01Link,Obsai6Gbps,50,3264,45,-3.288,-4.353,LC,EA18461210435,HGGENUINE_MTRS-6E21-01,1310,6200,
593160,10.150.243.71,BBMOD_R-1/SFP_R-1 (RF1),RP3_01Link,Obsai6Gbps,37,3226,38,-3.261,-3.335,LC,EA18461210463,HGGENUINE_MTRS-6E21-01,1310,6200,
593162,10.150.243.73,RMOD_R-1/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,33,3292,38,-1.53,-2.048,LC,AC1844A1814,Hisense_LTF1303-AW1,1310,9800,
593162,10.150.243.73,BBMOD_R-1/SFP_R-3 (RF2),CPRILink,Cpri7,36,3197,41,-1.451,-1.878,LC,AC1843A1378,Hisense_LTF1303-AW1,1310,9800,
593162,10.150.243.73,RMOD_R-2/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,37,3319,42,-1.838,-1.439,LC,AC1843A1049,Hisense_LTF1303-AW1,1310,9800,
593162,10.150.243.73,BBMOD_R-1/SFP_R-1 (RF1),CPRILink,Cpri7,34,3203,41,-1.325,-2.495,LC,AC1844A1452,Hisense_LTF1303-AW1,1310,9800,
593162,10.150.243.73,RMOD_R-3/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,31,3304,39,-0.799,-5.622,LC,AC1844A1969,Hisense_LTF1303-AW1,1310,9800,
593162,10.150.243.73,BBMOD_R-1/SFP_R-2 (RF3),CPRILink,Cpri7,32,3211,40,-1.818,-2.426,LC,AC1844A1593,Hisense_LTF1303-AW1,1310,9800,
593172,10.150.243.84,RMOD_R-1/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,33,3293,45,-3.107,-3.747,LC,MB19030110185,HGGENUINE_MTRS-1E21-04,1310,9900,
593172,10.150.243.84,BBMOD_R-1/SFP_R-3 (RF2),CPRILink,Cpri7,40,3192,44,-2.865,-4.225,LC,MB19030110640,HGGENUINE_MTRS-1E21-04,1310,9900,
593172,10.150.243.84,RMOD_R-2/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,31,3288,44,-2.487,-4.597,LC,MB19030110512,HGGENUINE_MTRS-1E21-04,1310,9900,
593172,10.150.243.84,BBMOD_R-1/SFP_R-2 (RF3),CPRILink,Cpri7,39,3197,46,-4.112,-2.51,LC,MB19030110437,HGGENUINE_MTRS-1E21-04,1310,9900,
593172,10.150.243.84,RMOD_R-3/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,27,3307,42,-2.418,-3.298,LC,MB19030110114,HGGENUINE_MTRS-1E21-04,1310,9900,
593172,10.150.243.84,BBMOD_R-1/SFP_R-1 (RF1),CPRILink,Cpri7,40,3192,45,-3.316,-2.933,LC,MB19030111052,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,RMOD_R-1/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,29,3312,44,-2.628,-3.279,LC,MB18450132337,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,BBMOD_R-1/SFP_R-2 (RF3),CPRILink,Cpri7,32,3207,44,-2.351,-3.045,LC,MB18470141956,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,RMOD_R-2/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,28,3302,45,-0.985,-1.669,LC,MB18450130270,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,BBMOD_R-1/SFP_R-3 (RF1),CPRILink,Cpri7,33,3202,45,-1.403,-1.778,LC,MB18470140177,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,RMOD_R-3/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,31,3316,44,-1.469,-2.757,LC,MB18450130668,HGGENUINE_MTRS-1E21-04,1310,9900,
593223,10.150.243.116,BBMOD_R-1/SFP_R-1 (RF2),CPRILink,Cpri7,34,3207,46,-1.726,-2.403,LC,MB18470142852,HGGENUINE_MTRS-1E21-04,1310,9900,
593241,10.150.243.138,RMOD_R-1/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,33,3321,41,-1.073,-2.007,LC,MB18470140184,HGGENUINE_MTRS-1E21-04,1310,9900,
593241,10.150.243.138,BBMOD_R-1/SFP_R-2 (RF2),CPRILink,Cpri7,36,3212,45,-1.073,-2.857,LC,MB18470140535,HGGENUINE_MTRS-1E21-04,1310,9900,
593241,10.150.243.138,RMOD_R-2/SFP_R-1 (OPT_IF1),CPRILink,Cpri7,32,3321,38,-0.969,-3.152,LC,MB18470140572,HGGENUINE_MTRS-1E21-04,1310,9900,
